lang,start,end
jeb,18031170,18031227
ura,18031227,18031238
ayo,18031238,18032576
pid,18032576,18032617
kay,18032617,18032663
mav,18032663,18032712
pur,18032712,18032717
kgk,18032717,18032765
gui,18032765,18034028
gun,18034028,18034080
tqb,18034080,18034121
kyz,18034121,18034161
asn,18034161,18034206
pah,18034206,18034294
wir,18034294,18034298
myu,18034298,18034849
ait,18034849,18034860
ktn,18034860,18034919
mpu,18034919,18034957
arr,18034957,18035002
yup,18035002,18035105
cbd,18035105,18035194
mbc,18035194,18036083
yar,18036083,18036124
aca,18036124,18036182
gae,18036182,18036230
tae,18036230,18036329
bwi,18036329,18036416
yvt,18036416,18037121
wap,18037121,18038204
apu,18038204,18038317
boa,18038317,18048186
oca,18048186,18048604
ano,18048604,18048644
crt,18048644,18050072
gva,18050072,18050083
enl,18050083,18050089
aqt,18050089,18051135
cav,18051135,18052146
ese,18052146,18053680
ram,18053680,18053929
xre,18053929,18053978
kpj,18053978,18054551
ule,18054551,18054605
con,18054605,18055947
yag,18055947,18056558
alc,18056558,18057173
xoo,18057173,18057179
mzp,18057179,18058234
yau,18058234,18059027
ulk,18059027,18059191
xxt,18059191,18059201
msz,18059201,18059259
iou,18059259,18059507
wnc,18059507,18059897
wiu,18059897,18060136
kpw,18060136,18060613
awb,18060613,18061249
ygr,18061249,18061780
gah,18061780,18062152
gim,18062152,18062401
nii,18062401,18062420
agl,18062420,18062629
smq,18062629,18062830
jko,18062830,18063013
kxw,18063013,18063116
kkc,18063116,18063341
beo,18063341,18063724
onn,18063724,18063908
ail,18063908,18064028
smb,18064028,18064169
byr,18064169,18064394
apz,18064394,18064567
ygw,18064567,18064708
miw,18064708,18064851
zik,18064851,18065270
set,18065270,18065317
srl,18065317,18065363
aom,18065363,18065774
boj,18065774,18066081
bpu,18066081,18066394
snx,18066394,18066692
pnr,18066692,18066998
wnb,18066998,18067307
tya,18067307,18067622
ppo,18067622,18068209
kiw,18068209,18068758
tof,18068758,18069227
wbe,18069227,18069284
tds,18069284,18069324
tcq,18069324,18069331
bpp,18069331,18069715
oia,18069715,18070047
kvw,18070047,18070207
tpg,18070207,18070219
kvd,18070219,18070375
woi,18070375,18070710
abz,18070710,18073018
kpu,18073018,18073175
nec,18073175,18073328
lev,18073328,18076769
msg,18076769,18076819
bvz,18076819,18076853
skv,18076853,18076934
vam,18076934,18077009
wut,18077009,18077052
rwa,18077052,18077161
ksi,18077161,18077215
pby,18077215,18077392
niw,18077392,18077584
owi,18077584,18077776
mmp,18077776,18077923
mxk,18077923,18078505
yet,18078505,18078539
mle,18078539,18078758
ylg,18078758,18078964
abt,18078964,18083486
bzf,18083486,18084039
ian,18084039,18084612
wos,18084612,18084616
sny,18084616,18084823
ham,18084823,18085023
bjh,18085023,18085154
dju,18085154,18085294
wla,18085294,18085587
mtf,18085587,18086035
kql,18086035,18086212
pnn,18086212,18086771
tmd,18086771,18087084
afd,18087084,18087328
gai,18087328,18087371
bqs,18087371,18087543
msy,18087543,18087780
igm,18087780,18087800
tgu,18087800,18087976
yle,18087976,18089039
byx,18089039,18089366
gge,18089366,18089803
jig,18089803,18090417
lrg,18090417,18090490
giy,18090490,18090494
zmr,18090494,18090529
mpb,18090529,18090569
wub,18090569,18090639
wro,18090639,18090694
nid,18090694,18091607
fln,18091607,18091616
rit,18091616,18091673
gyd,18091673,18095188
amz,18095188,18095196
urf,18095196,18095332
yyr,18095332,18095405
ump,18095405,18095410
kuy,18095410,18095413
kbe,18095413,18095442
gdj,18095442,18095446
wmi,18095446,18095455
bzr,18095455,18095529
bjy,18095529,18096115
dhu,18096115,18096344
drl,18096344,18102637
pit,18102637,18103880
nmv,18103880,18103888
jbi,18103888,18103894
dmw,18103894,18103942
mem,18103942,18106067
nly,18106067,18107571
pnw,18107571,18108708
tju,18108708,18108852
vka,18108852,18109141
nhf,18109141,18109217
pnv,18109217,18109220
xny,18109220,18109374
wbt,18109374,18112179
wrl,18112179,18112223
adt,18112223,18112262
gul,18112262,18112820
hwc,18112820,18112872
als,18112872,18173188
xcl,18173188,18174831
chu,18174831,18178966
sgh,18178966,18179039
yah,18179039,18179079
srh,18179079,18179096
tly,18179096,18179282
bjm,18179282,18179305
ask,18179305,18179316
bsh,18179316,18179361
wbk,18179361,18179374
rmi,18179374,18179384
nit,18179384,18181913
kff,18181913,18185108
tcy,18185108,18185255
kfd,18185255,18185297
bfq,18185297,18185376
kfe,18185376,18185387
mal,18185387,18200733
gru,18200733,18200788
sgw,18200788,18200878
ior,18200878,18200921
egy,18200921,18201799
taq,18201799,18241387
gho,18241387,18241429
dim,18241429,18241602
she,18241602,18241755
hoz,18241755,18241794
jnj,18241794,18241948
mdy,18241948,18242099
zay,18242099,18242377
kqy,18242377,18242573
awn,18242573,18242922
muu,18242922,18243028
mou,18243028,18243040
mub,18243040,18243555
jaf,18243555,18243566
bwr,18243566,18244030
mrt,18244030,18244537
mxu,18244537,18244627
mfh,18244627,18244663
dbq,18244663,18245653
hna,18245653,18245665
aal,18245665,18245701
tan,18245701,18246142
pip,18246142,18246609
kwl,18246609,18246651
wji,18246651,18246701
sir,18246701,18246708
kil,18246708,18246715
tgd,18246715,18246723
uby,18246723,18246885
ava,18246885,18261462
ani,18261462,18264069
gdo,18264069,18265440
cji,18265440,18266962
kva,18266962,18268426
tin,18268426,18269848
kpt,18269848,18272489
akv,18272489,18275301
khv,18275301,18279440
gin,18279440,18280924
kap,18280924,18284125
lbe,18284125,18286259
dar,18286259,18293815
aqc,18293815,18298184
kjj,18298184,18299781
agx,18299781,18301623
rut,18301623,18303573
tkr,18303573,18305411
kry,18305411,18305702
bdk,18305702,18307349
udi,18307349,18319866
mei,18319866,18320032
xwg,18320032,18320289
tma,18320289,18320812
shj,18320812,18321046
liu,18321046,18321262
daj,18321262,18321700
ach,18321700,18321812
keo,18321812,18321856
nsg,18321856,18321907
tcc,18321907,18321980
ikx,18321980,18323630
nyp,18323630,18323754
ksp,18323754,18324478
kwv,18324478,18327149
bxv,18327149,18327161
led,18327161,18327356
les,18327356,18327417
udu,18327417,18327967
kib,18327967,18328395
tic,18328395,18328634
eli,18328634,18328918
tlo,18328918,18329209
taz,18329209,18329477
hio,18329477,18330056
ngh,18330056,18330702
xam,18330702,18331014
sus,18331014,18331213
kpe,18331213,18331568
wan,18331568,18331805
neb,18331805,18332019
knf,18332019,18332431
krx,18332431,18332437
gsl,18332437,18332444
bcg,18332444,18332644
tem,18332644,18333422
bun,18333422,18334058
blh,18334058,18334131
bev,18334131,18334368
oub,18334368,18334430
ted,18334430,18334697
gxx,18334697,18334920
wob,18334920,18335188
dts,18335188,18342891
kfz,18342891,18342957
lee,18342957,18343053
kst,18343053,18343064
vag,18343064,18343212
lnu,18343212,18343532
awo,18343532,18343642
pmn,18343642,18343864
tui,18343864,18344134
kbn,18344134,18344540
dmm,18344540,18344755
moi,18344755,18344889
jen,18344889,18345027
ijs,18345027,18345425
bci,18345425,18345841
cko,18345841,18345854
nzi,18345854,18346224
gjn,18346224,18347951
lef,18347951,18348174
kpo,18348174,18348188
gaa,18348188,18349417
ada,18349417,18349470
kxb,18349470,18349834
utr,18349834,18349929
yba,18349929,18349968
epi,18349968,18350020
erh,18350020,18350057
iso,18350057,18350095
urh,18350095,18350178
evh,18350178,18350214
opa,18350214,18350283
ogc,18350283,18352945
kub,18352945,18352988
ogb,18352988,18353132
kes,18353132,18353143
abn,18353143,18353184
odu,18353184,18354326
mfn,18354326,18354479
gnh,18354479,18354491
jni,18354491,18354538
tsw,18354538,18354587
mgi,18354587,18354646
brt,18354646,18354659
jku,18354659,18354771
nbb,18354771,18355196
mfd,18355196,18355549
mff,18355549,18355596
ncr,18355596,18355670
dua,18355670,18356697
abb,18356697,18357087
yas,18357087,18357129
boh,18357129,18357769
diz,18357769,18358659
khy,18358659,18358670
kmw,18358670,18361764
nym,18361764,18366634
suk,18366634,18368062
yom,18368062,18368425
nyn,18368425,18370321
lue,18370321,18370363
nye,18370363,18370372
piw,18370372,18371892
lam,18371892,18371904
mgs,18371904,18373477
mgv,18373477,18375090
tog,18375090,18375104
tum,18375104,18375147
mgw,18375147,18375773
mwe,18375773,18378447
kde,18378447,18382062
khu,18382062,18382069
tsc,18382069,18382091
cce,18382091,18382105
smn,18382105,18383312
udm,18383312,18387748
kpv,18387748,18390420
mhr,18390420,18457513
mns,18457513,18460033
xng,18460033,18460181
mhj,18460181,18460249
juc,18460249,18460671
itl,18460671,18460966
niv,18460966,18461346
bje,18461346,18462794
aou,18462794,18462933
cuq,18462933,18463043
kkh,18463043,18463152
tsl,18463152,18463157
hnu,18463157,18463169
aem,18463169,18463180
kha,18463180,18465300
pce,18465300,18465403
rbb,18465403,18465453
lbo,18465453,18465515
bdq,18465515,18465918
sed,18465918,18466462
omx,18466462,18466474
cwg,18466474,18467372
kns,18467372,18467382
mnq,18467382,18467386
btq,18467386,18467393
sbo,18467393,18467397
ssm,18467397,18467401
caq,18467401,18467412
kfp,18467412,18467457
bfw,18467457,18472000
wea,18472000,18472010
lep,18472010,18472075
adi,18472075,18472132
vay,18472132,18472423
lae,18472423,18472446
tdh,18472446,18472487
suz,18472487,18472572
kle,18472572,18472630
qxs,18472630,18475415
ers,18475415,18475469
jya,18475469,18475758
kdq,18475758,18475800
nbc,18475800,18475877
nre,18475877,18475888
lus,18475888,18505177
mhx,18505177,18505223
acn,18505223,18505314
zal,18505314,18505325
bzi,18505325,18505376
ahk,18505376,18506948
pwn,18506948,18507974
xsy,18507974,18508457
gad,18508457,18508681
tld,18508681,18508726
rth,18508726,18508778
mog,18508778,18509622
swu,18509622,18509634
sbr,18509634,18509646
kqt,18509646,18509657
zbc,18509657,18509889
bth,18509889,18509916
sdo,18509916,18509989
byd,18509989,18510000
xkn,18510000,18510011
sya,18510011,18510114
cjm,18510114,18510492
tev,18510492,18510503
bnd,18510503,18510739
kzb,18510739,18510750
slu,18510750,18511069
wet,18511069,18511257
dmr,18511257,18511423
tve,18511423,18511585
akg,18511585,18511802
tti,18511802,18511849
adz,18511849,18511985
zsu,18511985,18512026
ymp,18512026,18512071
wed,18512071,18512276
oum,18512276,18512287
kdf,18512287,18512298
rai,18512298,18512327
lcm,18512327,18512644
leu,18512644,18512908
mft,18512908,18512919
rri,18512919,18513159
ghn,18513159,18513405
gga,18513405,18513416
nwi,18513416,18513790
nem,18513790,18513846
puw,18513846,18514390
tox,18514390,18514419
lnn,18514419,18514467
urr,18514467,18514515
ptv,18514515,18514560
wsi,18514560,18514715
nrg,18514715,18514798
llp,18514798,18515215
uve,18515215,18515378
ynk,18515378,18515390
ess,18515390,18515496
esu,18515496,18516005
esi,18516005,18520278
iku,18520278,18533592
ike,18533592,18533648
tli,18533648,18535297
wlk,18535297,18539289
mia,18539289,18539470
unm,18539470,18539774
kwk,18539774,18539818
twa,18539818,18539920
col,18539920,18540038
chc,18540038,18542261
chr,18542261,18548453
wac,18548453,18548463
nsz,18548463,18548530
tun,18548530,18548544
poi,18548544,18549508
tos,18549508,18549798
tpp,18549798,18549848
lac,18549848,18550628
ctu,18550628,18550856
tzh,18550856,18551079
mam,18551079,18552107
acr,18552107,18552283
kek,18552283,18554482
cak,18554482,18555009
tzj,18555009,18555330
quv,18555330,18555442
qum,18555442,18555563
poc,18555563,18555895
poh,18555895,18556010
lui,18556010,18557466
tbu,18557466,18557522
zap,18557522,18558778
zaw,18558778,18558834
cte,18558834,18558838
yan,18558838,18560438
ccr,18560438,18560485
cbg,18560485,18560538
emp,18560538,18560654
cub,18560654,18561257
tnc,18561257,18561341
cbv,18561341,18561480
atx,18561480,18561524
iqu,18561524,18561578
cah,18561578,18561616
sbe,18561616,18562197
guq,18562197,18563019
aan,18563019,18563061
trz,18563061,18563066
tit,18563066,18563077
guo,18563077,18563131
jaa,18563131,18567989
bmr,18567989,18568411
mca,18568411,18569421
amc,18569421,18569715
teh,18569715,18570546
umo,18570546,18570582
xok,18570582,18570619
myr,18570619,18570685
nce,18570685,18571057
kgf,18571057,18571281
smc,18571281,18571337
klt,18571337,18571621
wgi,18571621,18572017
goi,18572017,18572522
bbb,18572522,18572800
mcq,18572800,18573165
mlp,18573165,18573510
ped,18573510,18573824
tnh,18573824,18574094
meb,18574094,18574390
ipo,18574390,18574435
tbd,18574435,18574863
knv,18574863,18575383
tty,18575383,18575447
tad,18575447,18575578
bkl,18575578,18575689
mkz,18575689,18576202
kyo,18576202,18576537
klz,18576537,18576799
beu,18576799,18577091
saj,18577091,18577148
itr,18577148,18577446
bpw,18577446,18577706
gpn,18577706,18578068
byz,18578068,18578214
akx,18578214,18578254
tiw,18578254,18578465
amy,18578465,18578498
dwu,18578498,18578625
djr,18578625,18578667
guf,18578667,18578785
djb,18578785,18578832
dax,18578832,18578881
aid,18578881,18578884
zmv,18578884,18578920
xut,18578920,18578924
wrg,18578924,18578973
gyy,18578973,18579043
wga,18579043,18579082
wrb,18579082,18579116
ddj,18579116,18580420
dhr,18580420,18581647
brc,18581647,18581699
scn,18581699,18602036
hye,18602036,18649289
lvs,18649289,18758898
oru,18758898,18758947
bkk,18758947,18759023
gwc,18759023,18759071
wsv,18759071,18759082
mvy,18759082,18759163
sts,18759163,18759174
nli,18759174,18759185
dmk,18759185,18759220
mar,18759220,18818297
skr,18818297,18818345
bhb,18818345,18818358
awa,18818358,18818377
thv,18818377,18818462
cnu,18818462,18818470
grr,18818470,18818478
myo,18818478,18818624
xan,18818624,18819553
ssy,18819553,18819740
bsw,18819740,18819887
tqq,18819887,18819940
dal,18819940,18820312
moz,18820312,18821769
hia,18821769,18821805
ngs,18821805,18821816
bcy,18821816,18822315
kot,18822315,18822373
pqa,18822373,18822432
dwa,18822432,18822806
jmb,18822806,18822815
dot,18822815,18823229
fia,18823229,18823404
mgb,18823404,18823698
aja,18823698,18824086
kyq,18824086,18824149
mdi,18824149,18824210
kau,18824210,18824645
tbr,18824645,18825133
hbn,18825133,18825625
lro,18825625,18825809
kqz,18825809,18826090
sos,18826090,18826574
lia,18826574,18826585
gud,18826585,18826819
dee,18826819,18826897
klu,18826897,18827008
nwb,18827008,18827243
nfr,18827243,18827466
wbf,18827466,18827515
box,18827515,18827627
mos,18827627,18827831
cme,18827831,18827928
tuz,18827928,18828022
dur,18828022,18828491
ldl,18828491,18828583
lla,18828583,18828683
bub,18828683,18828865
nga,18828865,18829578
mzv,18829578,18829786
fer,18829786,18829815
bvi,18829815,18829858
myj,18829858,18829869
ijn,18829869,18830212
ige,18830212,18830251
yor,18830251,19086225
ibo,19086225,19094201
jib,19094201,19094413
ebg,19094413,19094653
eke,19094653,19094899
yay,19094899,19094973
akd,19094973,19095071
res,19095071,19095155
iri,19095155,19095587
yes,19095587,19095638
izr,19095638,19096307
aik,19096307,19096406
alf,19096406,19096474
kid,19096474,19096669
tik,19096669,19096774
bag,19096774,19098233
nmg,19098233,19098692
njy,19098692,19101471
izh,19101471,19101603
klj,19101603,19101652
crh,19101652,19134459
kir,19134459,19155759
cmg,19155759,19155913
oaa,19155913,19155965
omk,19155965,19155971
prk,19155971,19155983
kjg,19155983,19156093
bru,19156093,19156117
oog,19156117,19156123
kpm,19156123,19156986
mng,19156986,19157371
spu,19157371,19157421
oyb,19157421,19157518
sqq,19157518,19157530
nev,19157530,19157583
brb,19157583,19157652
cog,19157652,19157666
cbn,19157666,19157774
lnh,19157774,19157778
mhe,19157778,19157790
szc,19157790,19157837
sza,19157837,19157851
suv,19157851,19157898
blk,19157898,19158536
bwe,19158536,19158702
kvu,19158702,19158751
kvq,19158751,19158909
pdu,19158909,19158954
ghk,19158954,19158965
mxj,19158965,19159010
hru,19159010,19159022
wme,19159022,19159071
brx,19159071,19161025
nkh,19161025,19161038
csh,19161038,19161062
mwq,19161062,19161074
zkd,19161074,19161119
obr,19161119,19161126
pyy,19161126,19161131
lhu,19161131,19161248
ksn,19161248,19161259
bgs,19161259,19161302
mdh,19161302,19161410
mrw,19161410,19179325
kyk,19179325,19179336
bnq,19179336,19179596
kzp,19179596,19179836
law,19179836,19179954
dbj,19179954,19180247
itd,19180247,19180271
srk,19180271,19180283
kzi,19180283,19180979
ree,19180979,19181722
sib,19181722,19181800
xkl,19181800,19182294
slm,19182294,19182344
sjm,19182344,19182820
bdl,19182820,19183610
smw,19183610,19183814
mad,19183814,19184362
cje,19184362,19184584
mqc,19184584,19184595
sau,19184595,19184607
alo,19184607,19184682
jmd,19184682,19185200
sws,19185200,19185211
tet,19185211,19194008
srw,19194008,19194171
bhp,19194171,19194632
mqy,19194632,19195517
riu,19195517,19195532
xmt,19195532,19195766
gop,19195766,19195814
svb,19195814,19195820
ylu,19195820,19195832
bzh,19195832,19195965
hot,19195965,19196018
sew,19196018,19196059
tgc,19196059,19196294
nal,19196294,19196634
tbf,19196634,19196987
emi,19196987,19197269
loj,19197269,19197574
ksg,19197574,19197617
lgb,19197617,19197628
kkk,19197628,19197847
blp,19197847,19197922
mrn,19197922,19198241
tnn,19198241,19198286
tnl,19198286,19198571
gri,19198571,19198978
tlr,19198978,19199357
mln,19199357,19199403
brr,19199403,19199444
lgu,19199444,19199492
dor,19199492,19199535
ora,19199535,19199578
sku,19199578,19199849
nms,19199849,19200048
mrs,19200048,19200094
pgk,19200094,19200142
ems,19200142,19200800
bcr,19200800,19200817
mez,19200817,19200877
kic,19200877,19200958
pqm,19200958,19204455
blc,19204455,19205106
cea,19205106,19205117
oma,19205117,19205225
paw,19205225,19205584
atw,19205584,19205653
pef,19205653,19205781
nol,19205781,19205793
skd,19205793,19206042
cic,19206042,19206429
mus,19206429,19206946
zos,19206946,19207070
zor,19207070,19207193
tzo,19207193,19208661
kjb,19208661,19208781
agu,19208781,19208999
nhg,19208999,19209478
maz,19209478,19212079
pbs,19212079,19212091
pmq,19212091,19212101
bzd,19212101,19212190
noa,19212190,19212310
kuz,19212310,19213258
gum,19213258,19213361
kwi,19213361,19213463
xsu,19213463,19213575
des,19213575,19213798
sri,19213798,19213871
pui,19213871,19214977
knm,19214977,19215019
ash,19215019,19215023
jua,19215023,19215027
tpj,19215027,19215072
cod,19215072,19215259
urb,19215259,19215366
kyr,19215366,19215406
tpr,19215406,19215448
mch,19215448,19215497
tpy,19215497,19216186
pad,19216186,19216313
hux,19216313,19216518
xav,19216518,19216673
opy,19216673,19216715
ded,19216715,19216945
sej,19216945,19217008
ons,19217008,19217386
net,19217386,19217497
ahh,19217497,19217749
khs,19217749,19217981
fuy,19217981,19218472
kqi,19218472,19219343
sks,19219343,19219995
pla,19219995,19220035
mkr,19220035,19220317
buq,19220317,19220620
msx,19220620,19220931
kcd,19220931,19221461
ert,19221461,19221614
twe,19221614,19221913
kps,19221913,19221945
mxn,19221945,19222098
amm,19222098,19222435
van,19222435,19222642
ppe,19222642,19222862
yee,19222862,19223258
aog,19223258,19223686
geb,19223686,19224515
sua,19224515,19224769
akj,19224769,19233803
okj,19233803,19233849
mpc,19233849,19234494
zme,19234494,19234908
wnd,19234908,19235749
mwf,19235749,19235827
wdj,19235827,19235924
gni,19235924,19236479
bck,19236479,19237377
gup,19237377,19239425
wlg,19239425,19239827
jay,19239827,19239869
wim,19239869,19243450
pkn,19243450,19243454
ayd,19243454,19243759
kjn,19243759,19243795
kky,19243795,19243954
dbl,19243954,19244025
wgy,19244025,19244067
gue,19244067,19251425
bxj,19251425,19253968
kdd,19253968,19254028
piu,19254028,19254621
pre,19254621,19254669
pox,19254669,19254894
yai,19254894,19255968
wbl,19255968,19256408
pes,19256408,19406491
rmn,19406491,19406811
mha,19406811,19406984
auz,19406984,19406990
shu,19406990,19407043
obm,19407043,19407051
jbn,19407051,19407236
aiw,19407236,19407499
myf,19407499,19407545
kcx,19407545,19407700
ahg,19407700,19409044
arv,19409044,19409191
wbj,19409191,19409449
bds,19409449,19409731
mmy,19409731,19410679
mfl,19410679,19411458
mlr,19411458,19411547
gde,19411547,19412069
mpk,19412069,19412080
nbh,19412080,19412613
anc,19412613,19413045
ank,19413045,19413470
mtl,19413470,19413482
bux,19413482,19413867
bbl,19413867,19414037
luo,19414037,19414644
din,19414644,19414694
tuv,19414694,19414912
mgc,19414912,19414919
kah,19414919,19414967
guk,19414967,19416117
mor,19416117,19416477
mbv,19416477,19416488
bet,19416488,19416721
bsq,19416721,19416866
kqo,19416866,19416923
bba,19416923,19417063
kza,19417063,19417150
spp,19417150,19417501
myk,19417501,19421494
dga,19421494,19421620
xon,19421620,19421789
sil,19421789,19421841
lna,19421841,19422046
brm,19422046,19422086
msj,19422086,19422580
nup,19422580,19422703
oke,19422703,19422739
nar,19422739,19422751
asg,19422751,19422761
idc,19422761,19422772
ndr,19422772,19422783
ngv,19422783,19422794
ofu,19422794,19423084
bkm,19423084,19428145
bww,19428145,19428167
tll,19428167,19428178
bcp,19428178,19428189
sub,19428189,19428199
leh,19428199,19429147
zul,19429147,19434309
krl,19434309,19435298
vep,19435298,19436276
liv,19436276,19447612
myv,19447612,19459060
mdf,19459060,19472292
sel,19472292,19473496
uzn,19473496,19496795
neg,19496795,19496884
hea,19496884,19497101
ril,19497101,19497173
yim,19497173,19497195
tsu,19497195,19497593
sxr,19497593,19498004
tiu,19498004,19498015
duo,19498015,19498152
ilk,19498152,19498464
kak,19498464,19498680
bkd,19498680,19499145
mbd,19499145,19499414
agn,19499414,19499500
kqe,19499500,19499728
ppk,19499728,19499952
ptu,19499952,19500369
mqx,19500369,19500424
cia,19500424,19500710
bhq,19500710,19500949
bna,19500949,19501179
mvv,19501179,19501298
dpp,19501298,19501310
drg,19501310,19501382
txx,19501382,19501422
dmg,19501422,19501432
urk,19501432,19501492
jra,19501492,19501764
rad,19501764,19501894
mhs,19501894,19502452
bty,19502452,19502844
spr,19502844,19502979
nul,19502979,19503026
kvv,19503026,19503037
kvo,19503037,19503142
tzn,19503142,19503303
lva,19503303,19503314
hvn,19503314,19505397
ple,19505397,19505468
agf,19505468,19505666
tni,19505666,19505713
gve,19505713,19505785
mmo,19505785,19505840
val,19505840,19506797
mpr,19506797,19506841
lga,19506841,19507109
sbb,19507109,19507430
nke,19507430,19507476
uge,19507476,19507521
rug,19507521,19507922
ane,19507922,19508217
axx,19508217,19508229
ssv,19508229,19508295
rpn,19508295,19508341
dix,19508341,19508423
nvh,19508423,19508434
tmb,19508434,19508766
mtt,19508766,19509200
msn,19509200,19510812
tgs,19510812,19510859
krf,19510859,19510905
wwo,19510905,19510968
lkn,19510968,19511015
mrm,19511015,19511107
mrb,19511107,19511153
omb,19511153,19511285
app,19511285,19511371
sww,19511371,19511419
bpa,19511419,19511502
vlp,19511502,19511587
nkk,19511587,19511629
ptr,19511629,19511672
vnp,19511672,19511715
tlm,19511715,19511763
tsr,19511763,19511887
mnl,19511887,19511932
nsw,19511932,19512014
lmb,19512014,19512240
mrp,19512240,19512322
frt,19512322,19512367
wlr,19512367,19512414
rga,19512414,19512462
alm,19512462,19512506
tgp,19512506,19512560
akr,19512560,19512808
tls,19512808,19512858
aor,19512858,19512906
tmi,19512906,19512953
mkv,19512953,19513014
mll,19513014,19513095
brj,19513095,19513161
mvt,19513161,19513206
mme,19513206,19513285
upv,19513285,19513556
psw,19513556,19513601
klv,19513601,19513648
ahb,19513648,19513772
mlx,19513772,19513818
sns,19513818,19514101
bnk,19514101,19514249
bki,19514249,19514297
nmk,19514297,19514693
apj,19514693,19514783
cro,19514783,19515036
tus,19515036,19515115
ute,19515115,19516152
ood,19516152,19516515
mat,19516515,19516589
mtn,19516589,19516594
cto,19516594,19516713
cmi,19516713,19517495
ore,19517495,19517570
cbu,19517570,19517622
kgx,19517622,19517679
kuq,19517679,19517688
xly,19517688,19517699
hix,19517699,19517807
pbh,19517807,19518811
rgr,19518811,19518936
ycn,19518936,19519029
guc,19519029,19521584
ame,19521584,19521979
hto,19521979,19522495
kgp,19522495,19523908
fun,19523908,19523951
gsn,19523951,19524011
yut,19524011,19524323
snp,19524323,19524705
for,19524705,19525067
foi,19525067,19525510
xfa,19525510,19525565
agm,19525565,19526106
kvg,19526106,19526963
mhl,19526963,19527268
ury,19527268,19527389
zmm,19527389,19527424
ywr,19527424,19527674
gtu,19527674,19527714
nyt,19527714,19527842
ktg,19527842,19528936
gyn,19528936,19528972
pcm,19528972,19529030
rup,19529030,19531878
ruq,19531878,19532211
ist,19532211,19532561
pbt,19532561,19534237
gzi,19534237,19534248
siy,19534248,19534265
peo,19534265,19534390
kls,19534390,19534514
dml,19534514,19534590
rwr,19534590,19537010
mup,19537010,19537022
gbm,19537022,19537035
mai,19537035,19537085
bho,19537085,19537181
hne,19537181,19537195
akk,19537195,19538273
amh,19538273,19543769
kbr,19543769,19543942
irk,19543942,19545525
zim,19545525,19545935
swy,19545935,19546034
bcw,19546034,19546511
mfi,19546511,19546982
glw,19546982,19547550
dgh,19547550,19548029
tdk,19548029,19548089
scw,19548089,19548459
grd,19548459,19548501
mfz,19548501,19548642
lok,19548642,19548653
men,19548653,19549548
nhb,19549548,19549862
pbp,19549862,19550060
bsc,19550060,19550071
tnr,19550071,19550083
ldm,19550083,19550317
kwp,19550317,19550328
vig,19550328,19550339
fli,19550339,19551252
dir,19551252,19551336
tdo,19551336,19551430
mru,19551430,19551821
gya,19551821,19552488
ndz,19552488,19552533
tbm,19552533,19552578
nmj,19552578,19552613
afo,19552613,19552933
ybl,19552933,19552945
ich,19552945,19553101
kkm,19553101,19553208
krp,19553208,19553219
pcn,19553219,19553284
ego,19553284,19553614
bkv,19553614,19553780
kgt,19553780,19553792
abo,19553792,19553842
xmb,19553842,19553853
bbk,19553853,19554341
bvg,19554341,19554352
koq,19554352,19554756
hum,19554756,19554788
oac,19554788,19554840
yux,19554840,19554901
alr,19554901,19555068
cqd,19555068,19555340
dnu,19555340,19555378
sss,19555378,19555389
crw,19555389,19555765
krr,19555765,19555776
alk,19555776,19555787
tpu,19555787,19555802
cua,19555802,19556078
jeh,19556078,19556452
tmo,19556452,19556463
bft,19556463,19556765
jna,19556765,19556785
drd,19556785,19556837
cdn,19556837,19556848
ybi,19556848,19556859
lsi,19556859,19556911
tay,19556911,19557887
lbk,19557887,19571173
plz,19571173,19571186
scg,19571186,19571201
rej,19571201,19571641
cja,19571641,19571694
kzu,19571694,19571917
sry,19571917,19571923
tbo,19571923,19571995
mmx,19571995,19572236
tva,19572236,19572462
cir,19572462,19572527
iai,19572527,19572872
mwo,19572872,19573089
scs,19573089,19573143
tew,19573143,19573236
tix,19573236,19573248
akz,19573248,19573781
cho,19573781,19574464
xaw,19574464,19574645
amu,19574645,19574793
mio,19574793,19574837
mau,19574837,19574888
zai,19574888,19575232
cya,19575232,19575252
ocu,19575252,19575307
cjp,19575307,19575431
agr,19575431,19578081
pbg,19578081,19578131
crb,19578131,19578173
noj,19578173,19578222
tob,19578222,19578294
mpp,19578294,19578387
uvh,19578387,19578610
kbq,19578610,19579270
bef,19579270,19580522
kue,19580522,19581254
jaq,19581254,19581609
ksj,19581609,19581883
mgu,19581883,19582951
gyb,19582951,19583261
kgr,19583261,19583309
loa,19583309,19583385
gbu,19583385,19584118
mph,19584118,19585011
crs,19585011,19587009
mfe,19587009,19590967
gcf,19590967,19592104
lou,19592104,19592131
gcr,19592131,19592192
kmv,19592192,19592252
osc,19592252,19592450
lmo,19592450,19622782
aln,19622782,19622853
prg,19622853,19624244
dsb,19624244,19631920
mnj,19631920,19631964
ydg,19631964,19632008
isk,19632008,19633298
san,19633298,19673524
phl,19673524,19673646
psh,19673646,19673657
paq,19673657,19673668
dgo,19673668,19673692
khn,19673692,19673703
dwr,19673703,19673852
bxe,19673852,19674617
gaz,19674617,19676006
gwn,19676006,19676269
mur,19676269,19676721
mpe,19676721,19676878
lot,19676878,19676903
mas,19676903,19677719
niq,19677719,19677811
mdj,19677811,19678398
rou,19678398,19679328
lig,19679328,19679538
