lang,start,end
lao,13714527,13728143
dan,13728143,13848700
nrn,13848700,13855113
xal,13855113,13876288
rus,13876288,15092259
tsd,15092259,15096871
wlc,15096871,15096872
nor,15096872,15096943
pgn,15096943,15096945
bht,15096945,15096946
cdh,15096946,15096947
ttg,15096947,15096948
bhd,15096948,15096949
plk,15096949,15096950
cdj,15096950,15096951
sgt,15096951,15096952
trm,15096952,15096953
nna,15096953,15100318
lad,15100318,15105545
dgl,15105545,15105843
kyf,15105843,15105844
bmu,15105844,15118130
kmg,15118130,15121827
ksr,15121827,15129133
iry,15129133,15129134
tdy,15129134,15129135
bku,15129135,15129156
myz,15129156,15129169
uga,15129169,15129258
xsa,15129258,15129273
dnj,15129273,15132561
tmr,15132561,15132575
uma,15132575,15132636
wsg,15132636,15137406
hbo,15137406,15138974
syc,15138974,15139809
roh,15139809,15148860
gom,15148860,15175595
mid,15175595,15175720
evn,15175720,15177843
hnn,15177843,15178698
kat,15178698,15219631
arb,15219631,15499608
ell,15499608,15638493
kkw,15638493,15638504
ifm,15638504,15638505
bul,15638505,15739523
pnb,15739523,15740027
sms,15740027,15745260
wuu,15745260,15763106
plc,15763106,15763183
ttt,15763183,15765018
lez,15765018,15770597
mul,15770597,15770928
trg,15770928,15770939
bph,15770939,15773457
vmb,15773457,15773504
bfs,15773504,15773897
thf,15773897,15775558
mya,15775558,15781131
aer,15781131,15781206
aae,15781206,15781220
acx,15781220,15781232
aao,15781232,15781233
dja,15781233,15781234
dgw,15781234,15781235
lja,15781235,15781236
pnj,15781236,15781237
weg,15781237,15781277
wth,15781277,15781278
xjt,15781278,15781279
rbp,15781279,15781280
tjw,15781280,15781281
xwd,15781281,15781282
yxg,15781282,15781283
koi,15781283,15782146
tyv,15782146,15788097
nbj,15788097,15788392
dhg,15788392,15796328
gcd,15796328,15796956
bak,15796956,15802776
nog,15802776,15804946
unn,15804946,15804947
kld,15804947,15810089
awk,15810089,15810169
kum,15810169,15813296
lgh,15813296,15813307
xdk,15813307,15813308
gbw,15813308,15813309
gml,15813309,15813350
osx,15813350,15813618
egl,15813618,15814096
xcg,15814096,15814544
gmy,15814544,15814688
grc,15814688,15829137
bel,15829137,15975058
ukr,15975058,16056253
hit,16056253,16064812
xld,16064812,16064822
xlu,16064822,16064936
oss,16064936,16116777
xsc,16116777,16116779
ave,16116779,16122096
xco,16122096,16122108
sgr,16122108,16122149
glk,16122149,16122232
mzn,16122232,16123632
bcc,16123632,16125369
bgn,16125369,16127238
sdh,16127238,16127254
prn,16127254,16127266
xvi,16127266,16127312
rmw,16127312,16127377
sin,16127377,16132069
div,16132069,16133744
gwt,16133744,16133790
snd,16133790,16139525
hin,16139525,16417408
pan,16417408,16460985
ory,16460985,16466533
ben,16466533,16538848
asm,16538848,16549554
brh,16549554,16549774
kru,16549774,16549970
tel,16549970,16657878
kfc,16657878,16662561
kxv,16662561,16666684
kfa,16666684,16666699
kfi,16666699,16666710
tcx,16666710,16666757
tam,16666757,16802963
nlx,16802963,16802975
eus,16802975,16869344
ars,16869344,16869357
acq,16869357,16869368
apc,16869368,16869584
acy,16869584,16869722
acm,16869722,16869781
arz,16869781,16872217
ayl,16872217,16872327
arq,16872327,16872423
ary,16872423,16877004
apd,16877004,16877051
phn,16877051,16877155
heb,16877155,17013784
oar,17013784,17015501
jpa,17015501,17015513
sam,17015513,17015526
aii,17015526,17016043
cld,17016043,17016118
lsd,17016118,17016141
amw,17016141,17016188
hss,17016188,17016252
shv,17016252,17016354
sqt,17016354,17016438
tig,17016438,17016939
tir,17016939,17021494
har,17021494,17021579
zwa,17021579,17021623
cop,17021623,17022781
shi,17022781,17028574
tzm,17028574,17034313
kab,17034313,17045123
rif,17045123,17046820
shy,17046820,17046838
mzb,17046838,17046903
gha,17046903,17046979
amf,17046979,17047146
mdx,17047146,17047290
sze,17047290,17047301
moy,17047301,17047536
bwo,17047536,17047713
bcq,17047713,17047991
bst,17047991,17048135
alt,17048135,17050242
oyd,17050242,17050380
wal,17050380,17050765
bej,17050765,17051684
dox,17051684,17051860
hed,17051860,17051893
lme,17051893,17052939
daa,17052939,17053274
bid,17053274,17053881
bva,17053881,17054935
gqa,17054935,17055818
ttr,17055818,17056573
hwo,17056573,17057045
hbb,17057045,17057107
hig,17057107,17058583
ziz,17058583,17059045
syk,17059045,17059057
xed,17059057,17059127
gdf,17059127,17059627
maf,17059627,17060159
gou,17060159,17060170
gdu,17060170,17060606
nja,17060606,17061021
mug,17061021,17061208
gid,17061208,17061249
bdm,17061249,17061311
kai,17061311,17061738
bxq,17061738,17061749
kks,17061749,17061799
glo,17061799,17061850
kna,17061850,17062298
tal,17062298,17062306
cla,17062306,17063331
mmf,17063331,17063380
kul,17063380,17063764
ngi,17063764,17064284
mkf,17064284,17064684
bbt,17064684,17064691
zns,17064691,17064702
juu,17064702,17064713
plj,17064713,17066180
say,17066180,17066606
abk,17066606,17078384
abq,17078384,17090702
kbd,17090702,17092177
ady,17092177,17095295
che,17095295,17102778
inh,17102778,17108726
huz,17108726,17110224
tab,17110224,17114393
xmf,17114393,17114778
sva,17114778,17115000
dil,17115000,17115245
muz,17115245,17115579
koe,17115579,17115841
suq,17115841,17116099
mym,17116099,17116359
tbi,17116359,17116470
nyi,17116470,17116646
sjg,17116646,17116777
shk,17116777,17116948
anu,17116948,17117093
alz,17117093,17117143
laj,17117143,17117194
dib,17117194,17121998
dik,17121998,17122059
bfa,17122059,17122201
sgc,17122201,17122244
eyo,17122244,17122255
tuy,17122255,17122306
enb,17122306,17122354
kpz,17122354,17122361
spy,17122361,17122436
tec,17122436,17122448
oki,17122448,17122490
omt,17122490,17122533
teu,17122533,17122676
krs,17122676,17123422
bdh,17123422,17123469
blm,17123469,17123478
myb,17123478,17124545
kcm,17124545,17124715
mne,17124715,17124727
mgd,17124727,17125003
avu,17125003,17125094
kbo,17125094,17125146
log,17125146,17125199
mhi,17125199,17125330
wti,17125330,17125884
kun,17125884,17127318
gly,17127318,17127490
kmq,17127490,17127878
xom,17127878,17128224
kbl,17128224,17128414
mde,17128414,17129413
mls,17129413,17130029
ddn,17130029,17130078
mrg,17130078,17130126
xtc,17130126,17131857
kcr,17131857,17132022
tms,17132022,17132130
fuj,17132130,17132458
wrn,17132458,17132637
otr,17132637,17132992
lof,17132992,17133277
shw,17133277,17133603
laf,17133603,17134464
jle,17134464,17134737
dec,17134737,17134962
ras,17134962,17135247
tag,17135247,17135831
hts,17135831,17136101
sad,17136101,17136377
knw,17136377,17136778
ktz,17136778,17137683
naq,17137683,17138582
xii,17138582,17138588
nhr,17138588,17139074
xuu,17139074,17139773
gnk,17139773,17140009
gwj,17140009,17140257
nmn,17140257,17141714
kno,17141714,17141849
vai,17141849,17142831
goa,17142831,17143044
bqp,17143044,17143232
fuc,17143232,17145183
ffm,17145183,17145268
srr,17145268,17145566
